,path,project,product,domain,institute,driving_model,experiment,ensemble,rcm_model,rcm_version,time_frequency,variable,version,period_start,period_end,climatology,latest,directory
20,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20110101-20151231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2011-01-01T00:00:00,2015-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
21,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20510101-20551231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2051-01-01T00:00:00,2055-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
22,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20710101-20751231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2071-01-01T00:00:00,2075-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
23,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20460101-20501231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2046-01-01T00:00:00,2050-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
24,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20860101-20901231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2086-01-01T00:00:00,2090-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
25,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20960101-21001231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2096-01-01T00:00:00,2100-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
26,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20210101-20251231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2021-01-01T00:00:00,2025-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
27,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20760101-20801231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2076-01-01T00:00:00,2080-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
28,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20560101-20601231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2056-01-01T00:00:00,2060-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
29,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20310101-20351231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2031-01-01T00:00:00,2035-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
