,Year,Start Date,End Date,model,original_label,RWL_1,RWL_2,RWL_3,RWL_4,Intensity,Spatial extent,Mean spatial extent,Accumulated area,Duration,Max,HWMId_sum,Exposed_population_ghs,HWMId_pop_ghs,Exposed_population_ssp1,HWMId_pop_ssp1,Exposed_population_ssp2,HWMId_pop_ssp2,Exposed_population_ssp3,HWMId_pop_ssp3,Exposed_population_ssp4,HWMId_pop_ssp4,Exposed_population_ssp5,HWMId_pop_ssp5,Distance,Speed,Total_exposed_population_ghs,Total_exposed_population_ssp1,Total_exposed_population_ssp2,Total_exposed_population_ssp3,Total_exposed_population_ssp4,Total_exposed_population_ssp5,GCM,RCM,simulation,version,ensemble,version_date,calendar,bias-adjusted,grid_mapping,temp_file_path,Global_centroid,Global_centroid_date,Centroid_p1,Centroid_p2,Period RWL 1,Period RWL 2,Period RWL 3,Period RWL 4,Reanalysis,Historical
11237,2072,2072-06-23 12:00:00,2072-06-28 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1365,,,,,1.3350364027351382,191864.4300499351,150246.85769433455,901481.1461660072,6,4.083948,513107.2156357785,,,13030382.0,33290028.0,15640727.0,40132670.0,18449216.0,47089076.0,15352632.0,39249390.0,13845046.0,35458800.0,47.35524589441295,7.892540982402157,,60414996.0,72601730.0,85553040.0,71182560.0,64276936.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(57.685964000115284), np.float64(36.71153882183198))",2072-06-25 12:00:00,"(np.float64(57.674443309109115), np.float64(36.37882753406156))","(np.float64(57.70187761977054), np.float64(37.17111549876422))",False,False,False,False,False,True
11238,2072,2072-06-28 12:00:00,2072-07-11 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1366,,,,,1.5221914016566225,73449.56965631519,34374.18427905963,481238.5799068348,14,5.4116583,302037.63258167746,,,4466976.0,18105536.0,5116110.0,20713112.0,6143716.0,24834956.0,5238807.0,21111120.0,4670109.0,18852964.0,133.31868543803165,9.522763245573689,,26998964.0,30874440.0,37029160.0,31521278.0,28164972.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(40.90604459291563), np.float64(19.82657395659313))",2072-07-03 12:00:00,"(np.float64(41.376004561002304), np.float64(19.357760972682314))","(np.float64(40.41878251746948), np.float64(20.312646820344714))",False,False,False,False,False,True
11239,2072,2072-08-06 12:00:00,2072-08-10 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1368,,,,,1.6955107335459023,82594.26829595694,68187.79158485026,340938.95792425115,5,7.7818913,65055.717614112495,,,675112.6,566950.94,908057.0,750415.0,1117562.5,900112.25,879199.06,715189.56,793885.4,630497.4,9.445639678757134,1.8891279357514268,,2814938.0,3785176.0,4653408.0,3662038.0,3306600.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(62.79315263188983), np.float64(38.59621400217937))",2072-08-08 12:00:00,"(np.float64(62.80895953402694), np.float64(38.514224434672975))","(np.float64(62.776071943378916), np.float64(38.68481063240924))",False,False,False,False,False,True
11240,2073,2073-06-01 12:00:00,2073-08-31 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1369,,,,,2.5589184713006947,5686600.109045986,824696.4659616194,75872074.868469,92,13.340357,54110216.21334831,,,573365700.0,5401796600.0,666754560.0,6274358300.0,790868600.0,7444289000.0,667073860.0,6295475700.0,602138000.0,5673265000.0,1024.104832997824,11.131574271715476,,7621446000.0,8857224000.0,10509949000.0,8876054000.0,8000829400.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(49.36967829672365), np.float64(18.149895168117762))",2073-08-04 12:00:00,"(np.float64(44.14229980630814), np.float64(20.605699391899275))","(np.float64(52.93775334392047), np.float64(16.473625927667403))",False,False,False,False,False,True
11241,2073,2073-07-20 12:00:00,2073-07-29 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1373,,,,,1.66970937033147,86270.22445435345,42901.81310167112,429018.1310167111,10,5.104486,240000.79083912415,,,833871.25,2110370.5,1091636.9,2800576.5,1170569.5,2971029.5,994657.8,2505993.0,862794.5,2163362.5,4.1721815878074375,0.4172181587807437,,4009055.0,5250194.0,5651035.5,4797805.0,4158987.8,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(60.82683699021691), np.float64(8.105478518031772))",2073-07-24 12:00:00,"(np.float64(60.817576261848274), np.float64(8.066509871687826))","(np.float64(60.83396316508669), np.float64(8.135465078184708))",False,False,False,False,False,True
11242,2074,2074-06-01 12:00:00,2074-08-31 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1374,,,,,2.423074426210508,1796825.4072816323,315513.9384081632,29027282.33355101,92,10.323023,28606783.87169776,,,161870260.0,2333139000.0,187694620.0,2694965200.0,225111180.0,3248776200.0,189136030.0,2721131500.0,169543310.0,2421268700.0,710.0638699084903,7.718085542483591,,2478464000.0,2865717200.0,3449804300.0,2891722200.0,2576348400.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(39.203344374603724), np.float64(24.33796529096788))",2074-07-24 12:00:00,"(np.float64(39.57703610193477), np.float64(19.525504306259762))","(np.float64(38.94114553001839), np.float64(27.714603352544888))",False,False,False,False,False,True
11243,2074,2074-06-01 12:00:00,2074-08-31 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1375,,,,,2.7056213395311914,1095840.9419328398,84212.72448963372,7663357.928556669,91,12.336744,6755659.805596936,,,23002180.0,104516500.0,27922396.0,128802500.0,32942824.0,148997100.0,27261362.0,124865060.0,24690738.0,114515080.0,1637.0337802787012,17.98938220086485,,135865740.0,166417580.0,193989310.0,161956960.0,147595580.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(64.03976751076682), np.float64(17.768569627401018))",2074-07-03 12:00:00,"(np.float64(64.57196846992069), np.float64(35.1156731603843))","(np.float64(63.533768723374784), np.float64(1.2755265362929147))",False,False,False,False,False,True
11244,2074,2074-07-04 12:00:00,2074-07-13 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1379,,,,,2.6744662957946748,88064.54326457842,46119.19391963114,461191.93919631134,10,9.185279,443896.0801495118,,,5940269.5,28446490.0,6776742.0,32334920.0,8072590.0,38415320.0,6823454.0,32479332.0,6147641.5,29285940.0,23.21260651961952,2.321260651961952,,29035662.0,33079410.0,39394564.0,33314808.0,30026950.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(53.14621825186221), np.float64(-7.656393182796776))",2074-07-09 12:00:00,"(np.float64(53.23055546084649), np.float64(-7.605763638526834))","(np.float64(53.03437070608703), np.float64(-7.7235378077909855))",False,False,False,False,False,True
11245,2074,2074-07-04 12:00:00,2074-07-20 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1380,,,,,2.435662862365981,66109.72856187847,40401.95368777595,686833.2126921911,17,7.3098216,401209.7765541152,,,8251080.0,45031376.0,9729996.0,53277956.0,11454860.0,62195570.0,9808169.0,53477470.0,8819790.0,48723816.0,46.55306225728667,2.738415426899216,,67220290.0,79506930.0,93253290.0,80068424.0,72588990.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(56.64054594125375), np.float64(-4.219501049268043))",2074-07-11 12:00:00,"(np.float64(56.4575696590826), np.float64(-4.156410176749212))","(np.float64(56.8682957953962), np.float64(-4.298030008559299))",False,False,False,False,False,True
11246,2075,2075-06-01 12:00:00,2075-08-31 12:00:00,MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,1382,,,,,2.5490699848256644,6154464.28488992,1011090.9662626572,93020368.89616448,92,15.898938,81745318.10251752,,,689378700.0,9148291000.0,805128770.0,10701919000.0,968353150.0,12881623000.0,809352000.0,10777984000.0,725290750.0,9671928000.0,923.1413707413016,10.034145334144585,,10420539000.0,12166246000.0,14660280000.0,12257375000.0,10978414000.0,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/MPI-CSC/MPI-M-MPI-ESM-LR/rcp85/r1i1p1/MPI-CSC-REMO2009/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_MPI-CSC-REMO2009_SBCK-CDFt-ERA5-1976-2005_day_20060101-21001231.nc,"(np.float64(46.03734740844084), np.float64(18.670124360730412))",2075-07-23 12:00:00,"(np.float64(41.71469075335324), np.float64(21.945554846148525))","(np.float64(49.04650706959033), np.float64(16.389977202149367))",False,False,False,False,False,True
