,Year,Frequency,Nb hot days,Accumulated area summer,Mean duration summer,Max duration summer,Mean spatial extent summer,Max spatial extent summer,Mean accumulated area summer,Max accumulated area summer,Mean speed summer,Max speed summer,Mean distance summer,Max distance summer,temp_file_path,model,calendar,JJA duration,Relative accumulated area summer (%)
770,1995,4,26,2430238.247971262,9.75,14.0,113440.15246928803,255618.42018571947,607559.5619928155,1471923.6086156222,4.61712386420301,8.64166655781702,52.59233548925468,120.98333180943828,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.30798944156157826
771,1996,3,42,4749518.500642499,14.0,29.0,287612.4943585696,545245.1234196865,1583172.8335474995,3300388.47071146,3.735806707992712,6.7069698394906165,52.47607164915525,105.25326115474276,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.6019169321857227
772,1997,5,92,13629339.87844769,30.2,92.0,470298.8861439623,762247.8775696305,2725867.975689538,4918914.838214238,25.305484144359944,45.75699315246357,450.8569296427107,918.052969637502,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,1.7272762378422133
773,1998,4,34,7355273.421076309,8.5,13.0,385894.32558024,707900.927237618,1838818.3552690768,3114974.1202947446,8.539436086948937,17.290803148481654,60.72550922980548,121.0356220393716,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.9321499879203612
774,1999,2,23,6465522.815124824,19.5,21.0,540801.6906643864,960409.4134768838,3232761.407562412,5716642.437894873,10.486787932457576,19.479752123125945,217.9818109689253,409.0747945856448,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.8193899354914135
775,2000,3,92,18405179.92233124,43.0,92.0,805348.4261058726,1739510.7590703983,6135059.974110413,14698693.375646347,5.3588647444375725,8.7800082007302,124.50782027333712,263.400246021906,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,2.3325289571305454
776,2001,4,47,14614216.65323652,11.75,19.0,568634.1969171452,1286381.5115841753,3653554.16330913,7607848.40070535,6.092337199581952,14.116006213007957,76.44114436910804,183.50808076910343,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,1.8520918389987657
777,2002,2,92,1197659.5306076475,49.0,92.0,124409.20559171964,133076.30904054185,598829.7653038239,641116.5933693789,11.533263795415012,15.59342745677376,739.7169634137617,1434.595326023186,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.15178202808744257
778,2003,10,70,21936766.34605469,11.1,20.0,440293.6714534592,1043105.5981094176,2193676.634605469,5491193.189748497,15.172970410110082,35.10123253192032,171.58115864614007,561.6197205107251,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,2.7800946768195636
779,2004,2,13,2966346.236314495,6.5,8.0,330089.6922970184,556889.5443590368,1483173.1181572475,2479690.282428724,7.57793700659224,11.598818719087449,55.28791311159237,92.79054975269958,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.37593158677485944
