,Year,Frequency,Nb hot days,Accumulated area summer,Mean duration summer,Max duration summer,Mean spatial extent summer,Max spatial extent summer,Mean accumulated area summer,Max accumulated area summer,Mean speed summer,Max speed summer,Mean distance summer,Max distance summer,temp_file_path,model,calendar
20,1995,4,43,3283469.4169975347,13.5,27.0,138212.64231668858,330018.0244412159,820867.3542493837,2258466.3807556024,2.1799368049280274,4.136468064268739,38.30417814654898,111.68463773525592,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
21,1996,7,64,10315126.910254637,12.285714285714286,30.0,221462.46411141445,722609.7739515824,1473589.558607805,6232561.825137138,6.138915565364647,13.37381722654506,65.80967255434204,144.39757509837585,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
22,1997,8,69,10339038.918926148,13.375,25.0,234093.2971905293,523808.5217502254,1292379.8648657685,2967013.482120773,10.812388623396895,25.081984526614622,148.14044942173845,376.2297678992193,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
23,1998,3,92,21791919.551454227,46.0,92.0,1086690.548631001,2265904.384147509,7263973.183818076,17023968.86609443,8.657975824972906,16.01634820257714,176.50661959376416,366.9619433206553,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
24,1999,3,63,21441813.13753941,26.666666666666668,56.0,938797.995711421,2326809.766238796,7147271.04584647,19041672.94279968,17.682866278354137,24.294364292900177,550.9024430288837,1360.4844004024098,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
25,2000,3,92,21836417.719984487,45.333333333333336,92.0,966193.1245605848,1938665.952908256,7278805.906661496,16409420.319840224,11.574243874279894,24.207416995019507,233.37400150128323,314.6964209352536,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
26,2001,3,57,19511854.761725903,19.33333333333333,28.0,871363.4880476746,1750150.2071728911,6503951.587241967,10320832.069698451,24.4858791110586,67.54276616351338,665.0396253071385,1891.1974525783744,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
27,2002,2,92,2387763.527580316,50.0,92.0,239799.55342308487,280622.9073405903,1193881.763790158,1356701.2021022304,5.991115897587464,8.649035714171966,187.9231625828241,306.65403945227246,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
28,2003,11,58,18168589.011828624,8.636363636363637,11.0,338958.4712776609,824088.3323672678,1651689.9101662384,4161222.521434728,11.932591711946207,37.56854316018519,106.37913934298535,338.1168884416667,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
29,2004,3,48,5341352.346432571,16.0,29.0,345626.40888578683,579062.3578458122,1780450.7821441905,2559904.9216173966,11.307300412381336,16.860585261394277,126.2554277975235,153.32567677492133,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
